split,modality,mean,std,min,q05,q25,median,q75,q95,max,argmax_fraction
train,GAT,0.21383242,0.065641955,0.13212124,0.13955165892839433,0.1592566929757595,0.20150152,0.25186730176210403,0.3490923970937729,0.36561254,0.0009760858955588092
train,MACCS,0.45927492,0.11081298,0.22090179,0.2570754960179329,0.3947458565235138,0.49312028,0.5531487464904785,0.5824533879756927,0.6031005,0.7437774524158126
train,ChemBERTa,0.32689267,0.07896977,0.20660646,0.21827252209186554,0.26179951429367065,0.31710452,0.38221774995326996,0.4639952450990675,0.5787378,0.2552464616886286
val,GAT,0.21400851,0.063459024,0.13527898,0.13918301984667777,0.16553645953536034,0.20311034,0.2442501112818718,0.3486383959650993,0.36293712,0.0
val,MACCS,0.45389128,0.11388522,0.22268865,0.25070387721061704,0.3749741390347481,0.48511893,0.5524668544530869,0.5810268610715866,0.60363835,0.7276422764227642
val,ChemBERTa,0.3321002,0.08527583,0.21131217,0.21772952154278755,0.2594388425350189,0.318883,0.38990989327430725,0.5080190658569336,0.5754797,0.27235772357723576
test,GAT,0.21807048,0.06445908,0.13449425,0.13971253484487534,0.1677997149527073,0.21054322,0.2470339611172676,0.3490959957242012,0.3675426,0.0
test,MACCS,0.464245,0.11314679,0.22114038,0.25738219618797303,0.3946976512670517,0.5122843,0.5569840371608734,0.5833829402923584,0.5982315,0.75
test,ChemBERTa,0.3176846,0.08217234,0.21042246,0.21682376861572267,0.24433625489473343,0.3103613,0.37628665566444397,0.46848820447921746,0.57988447,0.25
