split,loss,main_loss,aux_loss,balance_loss,temperature,roc_auc,pr_auc,accuracy,f1,recall,precision,gate_gat_mean,gate_maccs_mean,gate_chemberta_mean
train,0.506995265974718,0.395103345022482,0.5522170838187722,0.028970105409183922,2.7142857142857144,0.9391175354617152,0.9295331231821704,0.8743289409468034,0.8752724630661177,0.8818936066373841,0.86875,0.21383242,0.45927492,0.32689267
val,0.6006560921669006,0.47916801273822784,0.6002534329891205,0.028748247772455215,2.7142857142857144,0.8935944241619648,0.9004701645523523,0.8130081300813008,0.8237547892720306,0.8206106870229007,0.8269230769230769,0.21400851,0.45389128,0.3321002
test,0.5541591048240662,0.435601145029068,0.585134357213974,0.03062174841761589,2.7142857142857144,0.922100605496041,0.9259596972290378,0.8536585365853658,0.8666666666666667,0.8796992481203008,0.8540145985401459,0.21807048,0.464245,0.3176846
