split,loss,main_loss,aux_loss,balance_loss,temperature,roc_auc,pr_auc,accuracy,f1,recall,precision,gate_gat_mean,gate_maccs_mean,gate_chemberta_mean
train,0.5012602367821861,0.38981397975893584,0.551028418190339,0.024811562369851506,2.6,0.9425979081083489,0.9351832133895912,0.8782332845290386,0.8797300554350446,0.8906783796974134,0.8690476190476191,0.2151489,0.44139135,0.34345978
val,0.602064460515976,0.4811650961637497,0.5984643399715424,0.02412962820380926,2.6,0.8928476601393959,0.9015590249639872,0.806910569105691,0.8183556405353728,0.816793893129771,0.8199233716475096,0.21672675,0.4350461,0.34822717
test,0.555661529302597,0.43742407858371735,0.5844966173171997,0.026762450113892555,2.6,0.9199547541419921,0.9245358419389669,0.8577235772357723,0.8713235294117647,0.8909774436090225,0.8525179856115108,0.21778193,0.44926044,0.33295766
