split,modality,mean,std,min,q05,q25,median,q75,q95,max,argmax_fraction
train,GAT,0.2151489,0.06429486,0.13499108,0.14083746075630188,0.16403301805257797,0.19682005,0.2536381036043167,0.3497269973158836,0.36190167,0.0007320644216691069
train,MACCS,0.44139135,0.108823076,0.2271671,0.26499487161636354,0.36091233044862747,0.4579047,0.5392939895391464,0.579552772641182,0.5934899,0.6473889702293801
train,ChemBERTa,0.34345978,0.07767742,0.21264055,0.22304683104157447,0.28855153918266296,0.33481395,0.3934926688671112,0.4793129161000252,0.549133,0.3518789653489507
val,GAT,0.21672675,0.06365707,0.13621244,0.141049811989069,0.16972409933805466,0.19729014,0.24938806146383286,0.3473214447498321,0.3613397,0.0
val,MACCS,0.4350461,0.11334815,0.22828607,0.2617722570896149,0.33882490545511246,0.4414891,0.5398140400648117,0.5823772698640823,0.5894099,0.6178861788617886
val,ChemBERTa,0.34822717,0.08311312,0.21402958,0.22160194888710977,0.29097234457731247,0.3369429,0.4030381962656975,0.5082120627164841,0.54795754,0.3821138211382114
test,GAT,0.21778193,0.06309799,0.13517556,0.14195862263441086,0.16682730987668037,0.2009457,0.2556783929467201,0.34813996851444245,0.35823673,0.0020325203252032522
test,MACCS,0.44926044,0.11163649,0.2287497,0.2684479221701622,0.3539930358529091,0.48308998,0.5449900925159454,0.5804556787014007,0.5894602,0.6910569105691057
test,ChemBERTa,0.33295766,0.07966567,0.21595097,0.22232094779610634,0.2736903205513954,0.32669312,0.37796953320503235,0.48800329267978665,0.54828274,0.30691056910569103
