split,modality,mean,std,min,q05,q25,median,q75,q95,max,argmax_fraction
train,GAT,0.21256082,0.066022985,0.13277249,0.13819930478930473,0.15339958667755127,0.20079881,0.25458040833473206,0.3364607334136963,0.35247624,0.0
train,MACCS,0.43614072,0.104109146,0.23234962,0.2569344237446785,0.32982927560806274,0.47072676,0.5228795409202576,0.550590306520462,0.5659381,0.7186432406051733
train,ChemBERTa,0.35129845,0.06818812,0.23467247,0.24485034495592117,0.30207645148038864,0.34860867,0.39321093261241913,0.4849895253777503,0.5599041,0.28135675939482674
val,GAT,0.21331449,0.06475119,0.13249125,0.14021019712090493,0.1552279219031334,0.20123133,0.2574043646454811,0.3346529811620712,0.35125485,0.0
val,MACCS,0.4316312,0.10713304,0.23425075,0.2550696864724159,0.315885066986084,0.46921787,0.5210849940776825,0.5534245371818542,0.56300265,0.7032520325203252
val,ChemBERTa,0.35505435,0.07327062,0.23486233,0.24373025298118592,0.30238671600818634,0.35243157,0.39705055952072144,0.5160264760255814,0.5507291,0.2967479674796748
test,GAT,0.21739458,0.06352285,0.13186835,0.13993484228849412,0.16107317805290222,0.20651132,0.2547788992524147,0.33528771102428434,0.34772864,0.0
test,MACCS,0.43857336,0.10598186,0.23220102,0.25854855328798293,0.33679427951574326,0.48504966,0.5248249471187592,0.5526869475841523,0.5629427,0.7154471544715447
test,ChemBERTa,0.34403214,0.07166745,0.23632164,0.24632032811641694,0.2859397903084755,0.3394714,0.39135000109672546,0.4860330238938332,0.5553369,0.2845528455284553
