split,loss,main_loss,aux_loss,balance_loss,temperature,roc_auc,pr_auc,accuracy,f1,recall,precision,gate_gat_mean,gate_maccs_mean,gate_chemberta_mean
train,0.5049350629834568,0.3938339107176837,0.5493242127053878,0.024726160144542948,2.6,0.940027405671826,0.9316048760929831,0.8723767691556857,0.8753871813199905,0.8965348950707662,0.8552141527001862,0.21256082,0.43614072,0.35129845
val,0.6045231521129608,0.48377281427383423,0.5976158380508423,0.024543446488678455,2.6,0.889761035512778,0.8910897838113846,0.8211382113821138,0.8320610687022901,0.8320610687022901,0.8320610687022901,0.21331449,0.4316312,0.35505435
test,0.5590665638446808,0.44107677042484283,0.5838000476360321,0.024595366790890694,2.6,0.9178421718011843,0.9235917108622069,0.8495934959349594,0.8644688644688645,0.8872180451127819,0.8428571428571429,0.21739458,0.43857336,0.34403214
