split,modality,mean,std,min,q05,q25,median,q75,q95,max,argmax_fraction
train,GAT,0.22273655,0.059057772,0.14373274,0.14940638169646264,0.17055248841643333,0.21463288,0.2628345638513565,0.3288085460662842,0.35439202,0.0009760858955588092
train,MACCS,0.44411466,0.11560429,0.2150324,0.24396190121769906,0.36743877083063126,0.46961254,0.551782488822937,0.5644404083490372,0.5743539,0.726207906295754
train,ChemBERTa,0.33314884,0.09733537,0.18327521,0.19444627910852433,0.25998662412166595,0.31659436,0.40413475036621094,0.5188037484884261,0.61060995,0.27281600780868714
val,GAT,0.22336486,0.05804842,0.14443173,0.14955009743571282,0.17423518374562263,0.21189156,0.2651790454983711,0.32850463390350343,0.36528072,0.0020325203252032522
val,MACCS,0.4360744,0.12085616,0.21792214,0.23691991046071054,0.3120976686477661,0.45782232,0.5536927729845047,0.5648313641548157,0.570999,0.693089430894309
val,ChemBERTa,0.34056076,0.104858406,0.18275297,0.19380382895469667,0.2680308520793915,0.32132095,0.40917597711086273,0.5616738677024841,0.60909057,0.3048780487804878
test,GAT,0.22795874,0.05787019,0.14424004,0.14999781548976898,0.17275359109044075,0.23312657,0.2709450051188469,0.3275529220700264,0.36056492,0.0
test,MACCS,0.4493338,0.11832121,0.21559203,0.2433231480419636,0.35688556730747223,0.49376044,0.5544723868370056,0.564422744512558,0.5758449,0.7235772357723578
test,ChemBERTa,0.32270753,0.10118617,0.18510662,0.19289494678378105,0.24031466618180275,0.30277574,0.39988475292921066,0.5197167068719863,0.60841036,0.2764227642276423
