model,best_epoch,best_val_loss,epochs_ran,early_stopping_patience,train_roc_auc,train_pr_auc,train_accuracy,train_f1,train_recall,train_precision,val_roc_auc,val_pr_auc,val_accuracy,val_f1,val_recall,val_precision,test_roc_auc,test_pr_auc,test_accuracy,test_f1,test_recall,test_precision,train_mcc,val_mcc,test_mcc,seed
NeuroToxPredictor,22,0.602064460515976,32,10,0.9425979081083488,0.9351832133895912,0.8782332845290386,0.8797300554350446,0.8906783796974134,0.8690476190476191,0.8928476601393959,0.9015590249639872,0.806910569105691,0.8183556405353728,0.816793893129771,0.8199233716475096,0.919954754141992,0.9245358419389668,0.8577235772357723,0.8713235294117647,0.8909774436090225,0.8525179856115108,0.7567010016708973,0.6122885952045164,0.7132730336991848,42
NeuroToxPredictor,34,0.5942317843437195,44,10,0.963912451430914,0.958826410346485,0.9080039043435822,0.9105999525729191,0.9370424597364568,0.8856088560885609,0.9010952538997676,0.9108955730784984,0.8191056910569106,0.831758034026465,0.8396946564885496,0.8239700374531835,0.9116707698449664,0.9174823721466178,0.8211382113821138,0.8445229681978799,0.8984962406015038,0.7966666666666666,0.8173874769290823,0.636324348609626,0.64216647215703,123
NeuroToxPredictor,23,0.6077702939510345,33,10,0.944120392501812,0.9358913309774972,0.8826256710590532,0.883167354870051,0.8872620790629575,0.879110251450677,0.8909558579488882,0.89728701796795,0.8089430894308943,0.8185328185328186,0.8091603053435115,0.828125,0.9222004125357642,0.9283229075074316,0.8434959349593496,0.8566108007448789,0.8646616541353384,0.8487084870848709,0.7652842443529326,0.617057759779754,0.6845279390728592,2024
NeuroToxPredictor,20,0.6006560921669006,30,10,0.9391175354617152,0.9295331231821704,0.8743289409468034,0.8752724630661177,0.8818936066373841,0.86875,0.8935944241619648,0.9004701645523523,0.8130081300813008,0.8237547892720306,0.8206106870229007,0.8269230769230769,0.922100605496041,0.9259596972290378,0.8536585365853658,0.8666666666666667,0.8796992481203008,0.8540145985401459,0.7487435792531014,0.6246476142365706,0.7049632340952745,2025
NeuroToxPredictor,22,0.6045231521129608,32,10,0.940027405671826,0.9316048760929831,0.8723767691556857,0.8753871813199905,0.8965348950707662,0.8552141527001862,0.889761035512778,0.8910897838113846,0.8211382113821138,0.8320610687022901,0.8320610687022901,0.8320610687022901,0.9178421718011844,0.9235917108622068,0.8495934959349594,0.8644688644688645,0.8872180451127819,0.8428571428571429,0.7456243620294194,0.6407567208762032,0.6969237918071043,3407
