Metric,"Validation set, mean ± SD","Independent test set, mean ± SD",Test-set 95% bootstrap CI
ROC-AUC,0.894 ± 0.004,0.919 ± 0.004,"[0.895, 0.941]"
PR-AUC,0.900 ± 0.007,0.924 ± 0.004,"[0.895, 0.949]"
Accuracy,0.814 ± 0.006,0.845 ± 0.014,"[0.817, 0.874]"
F1-score,0.825 ± 0.007,0.861 ± 0.011,"[0.832, 0.888]"
Recall,0.824 ± 0.012,0.884 ± 0.013,"[0.847, 0.917]"
Specificity,0.803 ± 0.007,0.799 ± 0.039,"[0.753, 0.845]"
Precision,0.826 ± 0.005,0.839 ± 0.024,"[0.801, 0.878]"
MCC,0.626 ± 0.012,0.688 ± 0.028,"[0.630, 0.747]"
