split,modality,mean,std,min,q05,q25,median,q75,q95,max,argmax_fraction
train,GAT,0.20689414,0.07542307,0.11707647,0.12794837355613708,0.13409116864204407,0.18029386,0.27315741777420044,0.33368292450904846,0.36668894,0.0
train,MACCS,0.47737494,0.18448237,0.14681643,0.2055882140994072,0.28384634852409363,0.54585564,0.640078142285347,0.7056720972061157,0.7291757,0.637628111273792
train,ChemBERTa,0.315731,0.116693564,0.14953916,0.16249506175518036,0.2189781814813614,0.27736107,0.4271494373679161,0.5064381301403045,0.5946255,0.3623718887262079
val,GAT,0.20932965,0.07502513,0.11700393,0.12857949808239938,0.13402337580919266,0.19032842,0.2739502936601639,0.3323572516441345,0.35177696,0.0
val,MACCS,0.46976542,0.18892041,0.14851077,0.18926098346710205,0.2772599309682846,0.5247414,0.6424477845430374,0.7061555117368699,0.721791,0.6097560975609756
val,ChemBERTa,0.32090497,0.12181757,0.15292667,0.16265372335910797,0.21458101645112038,0.2895193,0.43054212629795074,0.5313114285469055,0.5926354,0.3902439024390244
test,GAT,0.20193973,0.07575226,0.117966786,0.12864453494548797,0.13365448638796806,0.16080144,0.2729271128773689,0.3332385167479515,0.34694937,0.0
test,MACCS,0.4971174,0.18721795,0.14869468,0.20535121560096742,0.2996421158313751,0.58395994,0.6614315062761307,0.7072800904512405,0.72387654,0.6829268292682927
test,ChemBERTa,0.30094293,0.11929992,0.149807,0.16131375432014466,0.19545143470168114,0.26439798,0.41288284212350845,0.5193999737501145,0.5929116,0.3170731707317073
