split,loss,main_loss,aux_loss,balance_loss,temperature,roc_auc,pr_auc,accuracy,f1,recall,precision,gate_gat_mean,gate_maccs_mean,gate_chemberta_mean
train,0.4606202420066385,0.3517593776478487,0.5353456139564514,0.035834594027084464,1.9142857142857144,0.9639124514309139,0.958826410346485,0.9080039043435822,0.9105999525729191,0.9370424597364568,0.8856088560885609,0.20689414,0.47737494,0.315731
val,0.5942317843437195,0.4733485132455826,0.5958842635154724,0.034128121100366116,1.9142857142857144,0.9010952538997677,0.9108955730784984,0.8191056910569106,0.831758034026465,0.8396946564885496,0.8239700374531835,0.20932965,0.46976542,0.32090497
test,0.5765152275562286,0.45577652752399445,0.5924091637134552,0.045136937871575356,1.9142857142857144,0.9116707698449663,0.9174823721466178,0.8211382113821138,0.8445229681978799,0.8984962406015038,0.7966666666666666,0.20193973,0.4971174,0.30094293
